Unnamed: 0,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
12775,48.0,Female,Houston,3.0,71.6,371.0,1.0
41694,47.0,Male,New York,1.0,69.96,156.0,1.0
12038,65.0,Female,Miami,12.0,37.88,490.0,0.0
29859,23.0,Male,Miami,20.0,61.71,222.0,1.0
57537,43.0,Female,Los Angeles,24.0,67.02,411.0,0.0
18819,31.0,Male,Los Angeles,17.0,48.22,333.0,1.0
14937,19.0,Male,Miami,3.0,34.98,141.0,1.0
48507,24.0,Female,Chicago,4.0,74.76,309.0,0.0
43458,22.0,Male,New York,5.0,36.73,216.0,0.0
1119,25.0,Female,Miami,23.0,51.56,184.0,1.0
52478,23.0,Male,Houston,22.0,49.38,131.0,1.0
82314,20.0,Female,Chicago,13.0,44.07,139.0,0.0
49823,64.0,Female,Chicago,15.0,31.13,271.0,1.0
42053,45.0,Male,Chicago,1.0,91.81,432.0,1.0
57993,56.0,Male,New York,14.0,30.15,76.0,0.0
67609,65.0,Male,Miami,14.0,65.24,313.0,1.0
1723,69.0,Female,Houston,1.0,87.94,251.0,0.0
64217,47.0,Female,Chicago,4.0,34.94,70.0,0.0
64390,32.0,Male,New York,17.0,93.77,319.0,0.0
19719,30.0,Male,Miami,21.0,71.04,137.0,0.0
33892,21.0,Female,Miami,19.0,82.13,443.0,1.0
57695,57.0,Male,Miami,2.0,40.47,143.0,1.0
29580,25.0,Female,Los Angeles,6.0,31.67,328.0,1.0
75224,43.0,Female,New York,20.0,58.82,371.0,0.0
42991,47.0,Female,Miami,22.0,51.48,52.0,0.0
5280,63.0,Female,Los Angeles,22.0,71.4,377.0,1.0
50137,35.0,Female,Chicago,3.0,53.41,241.0,1.0
54711,21.0,Female,Chicago,10.0,31.16,190.0,0.0
30687,52.0,Male,Los Angeles,13.0,37.9,317.0,1.0
28939,70.0,Male,Houston,11.0,36.23,76.0,0.0
60008,43.0,Female,New York,20.0,49.25,52.0,1.0
38185,61.0,Female,Houston,14.0,61.08,325.0,1.0
91853,26.0,Female,New York,7.0,61.82,52.0,1.0
38835,28.0,Male,Los Angeles,13.0,51.81,409.0,1.0
27652,66.0,Female,Los Angeles,8.0,78.3,370.0,0.0
6180,43.0,Male,New York,17.0,38.88,415.0,0.0
26960,35.0,Female,Houston,12.0,58.55,128.0,1.0
7595,52.0,Male,Chicago,16.0,96.83,371.0,1.0
99517,65.0,Female,Los Angeles,12.0,78.9,267.0,1.0
59747,64.0,Male,Los Angeles,22.0,43.93,246.0,0.0
80598,31.0,Male,New York,13.0,70.63,473.0,0.0
90682,30.0,Male,New York,9.0,79.6,254.0,0.0
86601,30.0,Female,Miami,13.0,60.83,424.0,1.0
70284,58.0,Female,Houston,14.0,82.6,230.0,0.0
73380,63.0,Male,Los Angeles,15.0,69.95,218.0,0.0
83395,21.0,Female,Houston,14.0,47.87,309.0,1.0
49291,50.0,Female,Houston,9.0,81.12,180.0,0.0
4025,49.0,Female,Houston,20.0,83.18,249.0,0.0
6857,30.0,Male,Miami,1.0,31.72,238.0,0.0
45782,42.0,Female,Los Angeles,3.0,72.6,397.0,0.0
54525,67.0,Female,Los Angeles,23.0,56.25,288.0,1.0
78550,64.0,Male,Miami,5.0,89.78,437.0,0.0
27166,26.0,Female,Los Angeles,11.0,49.62,381.0,1.0
17779,27.0,Male,Chicago,4.0,57.12,387.0,1.0
46594,51.0,Female,Chicago,1.0,59.16,355.0,0.0
84372,25.0,Female,New York,14.0,75.09,146.0,0.0
83145,27.0,Female,New York,15.0,30.13,404.0,1.0
53569,27.0,Female,New York,15.0,34.89,455.0,1.0
27894,23.0,Female,New York,22.0,52.79,352.0,0.0
28292,67.0,Female,Houston,23.0,52.35,85.0,1.0
37876,37.0,Male,Miami,10.0,67.03,290.0,1.0
75479,24.0,Male,Los Angeles,15.0,68.41,343.0,1.0
35989,62.0,Male,Chicago,5.0,54.34,433.0,0.0
9289,67.0,Female,Chicago,11.0,97.1,295.0,0.0
73261,35.0,Male,Chicago,20.0,57.34,369.0,1.0
50548,70.0,Female,Miami,14.0,30.2,371.0,0.0
86872,67.0,Female,New York,1.0,67.55,167.0,1.0
81419,36.0,Male,Chicago,17.0,76.1,273.0,0.0
73445,25.0,Female,New York,5.0,33.91,134.0,0.0
11155,32.0,Female,Miami,11.0,72.6,274.0,0.0
47809,47.0,Female,Chicago,22.0,60.63,123.0,1.0
45279,27.0,Female,New York,14.0,35.85,311.0,1.0
93316,25.0,Female,Houston,13.0,65.52,55.0,1.0
73976,37.0,Female,Miami,8.0,58.66,198.0,0.0
58546,37.0,Male,Los Angeles,14.0,36.86,478.0,0.0
16334,59.0,Male,Los Angeles,15.0,92.82,116.0,1.0
9249,20.0,Female,Miami,21.0,53.9,112.0,1.0
68194,24.0,Female,New York,3.0,74.13,287.0,1.0
11116,34.0,Female,Miami,5.0,34.26,368.0,1.0
79546,47.0,Female,Houston,2.0,81.91,391.0,1.0
34277,23.0,Female,Chicago,24.0,73.0,234.0,1.0
52215,28.0,Female,New York,9.0,96.43,299.0,0.0
42350,68.0,Male,Houston,8.0,87.92,236.0,1.0
47452,62.0,Male,New York,12.0,76.33,278.0,0.0
77841,69.0,Male,Chicago,21.0,94.4,248.0,1.0
54368,21.0,Male,Houston,5.0,51.02,470.0,0.0
52812,31.0,Female,Los Angeles,18.0,54.88,360.0,1.0
16730,67.0,Male,Chicago,10.0,67.07,166.0,1.0
86063,59.0,Female,Miami,9.0,43.07,168.0,1.0
14282,20.0,Male,Chicago,14.0,85.56,124.0,0.0
43995,70.0,Male,Miami,9.0,43.04,290.0,0.0
73011,52.0,Male,Miami,15.0,56.17,480.0,0.0
22539,51.0,Male,Miami,2.0,73.01,370.0,1.0
49452,52.0,Male,Los Angeles,6.0,37.72,216.0,0.0
56074,39.0,Male,Chicago,9.0,31.01,325.0,1.0
22664,23.0,Male,Miami,3.0,68.59,467.0,0.0
61987,24.0,Male,Miami,15.0,93.25,69.0,1.0
62652,27.0,Male,Houston,11.0,52.23,82.0,1.0
59209,49.0,Male,New York,12.0,39.26,254.0,1.0
30482,53.0,Male,Los Angeles,13.0,66.0,243.0,0.0
34901,48.0,Female,Houston,10.0,65.51,273.0,0.0
8851,63.0,Female,New York,24.0,78.3,403.0,1.0
27499,38.0,Female,New York,7.0,90.24,379.0,1.0
73305,60.0,Male,Miami,18.0,34.04,174.0,1.0
3872,50.0,Female,Chicago,15.0,41.77,67.0,1.0
71876,42.0,Female,Los Angeles,11.0,66.65,449.0,0.0
27354,25.0,Female,Chicago,24.0,86.84,92.0,1.0
46031,23.0,Male,Houston,15.0,92.94,346.0,0.0
75457,24.0,Male,Miami,2.0,57.73,101.0,0.0
38789,41.0,Male,Miami,9.0,48.89,215.0,0.0
99227,39.0,Male,Los Angeles,6.0,71.5,61.0,1.0
10498,47.0,Male,Miami,14.0,49.04,435.0,0.0
97396,41.0,Female,Chicago,4.0,97.85,455.0,1.0
25582,55.0,Male,Miami,22.0,95.98,298.0,1.0
46838,18.0,Female,Houston,7.0,74.15,175.0,1.0
54299,52.0,Male,Los Angeles,1.0,80.29,232.0,0.0
66076,53.0,Male,Miami,3.0,41.45,172.0,1.0
97564,63.0,Female,Miami,20.0,31.86,135.0,0.0
71108,57.0,Male,Miami,14.0,52.68,81.0,1.0
74829,56.0,Male,Houston,1.0,88.47,215.0,1.0
49302,55.0,Male,New York,14.0,34.29,493.0,1.0
4677,44.0,Male,Miami,7.0,69.7,287.0,0.0
15477,36.0,Female,Miami,21.0,78.88,486.0,0.0
5548,54.0,Female,Houston,15.0,58.96,346.0,0.0
41909,22.0,Male,Los Angeles,11.0,70.57,176.0,0.0
50800,18.0,Male,Houston,15.0,39.45,346.0,1.0
51303,42.0,Female,Miami,8.0,75.02,479.0,1.0
50334,29.0,Female,Houston,19.0,47.74,93.0,0.0
36672,43.0,Male,Houston,11.0,52.72,422.0,0.0
48664,27.0,Male,Los Angeles,13.0,47.26,165.0,1.0
62728,58.0,Male,New York,6.0,94.51,257.0,0.0
67830,31.0,Female,New York,8.0,91.7,210.0,1.0
31300,41.0,Female,Miami,8.0,89.36,218.0,1.0
27292,67.0,Male,Houston,13.0,94.53,417.0,0.0
24272,59.0,Male,Chicago,19.0,35.8,336.0,0.0
51479,27.0,Female,Los Angeles,10.0,60.73,283.0,0.0
81360,42.0,Female,Chicago,4.0,50.82,336.0,0.0
85895,66.0,Female,New York,16.0,87.72,498.0,1.0
39617,31.0,Male,New York,7.0,44.3,210.0,0.0
83418,44.0,Female,New York,2.0,67.24,186.0,1.0
67186,23.0,Male,Miami,13.0,36.18,435.0,0.0
2790,43.0,Male,Los Angeles,5.0,34.21,120.0,0.0
15810,62.0,Female,New York,17.0,45.26,461.0,1.0
56523,27.0,Female,Miami,13.0,44.21,103.0,0.0
39012,34.0,Female,New York,21.0,46.37,238.0,1.0
79808,45.0,Male,Chicago,12.0,57.93,443.0,1.0
66400,49.0,Female,Los Angeles,18.0,34.01,357.0,1.0
31117,53.0,Female,Houston,16.0,45.65,329.0,0.0
31357,55.0,Female,Houston,19.0,65.71,403.0,0.0
7214,42.0,Male,New York,12.0,74.52,371.0,1.0
56228,64.0,Female,New York,12.0,88.9,152.0,0.0
9200,37.0,Male,Miami,5.0,34.65,406.0,1.0
92110,34.0,Female,Houston,4.0,90.55,167.0,0.0
61553,58.0,Female,Los Angeles,1.0,90.48,180.0,0.0
48362,39.0,Female,Chicago,16.0,94.99,451.0,1.0
14882,65.0,Female,New York,12.0,46.14,107.0,1.0
42237,52.0,Female,New York,16.0,52.16,388.0,1.0
14894,61.0,Female,Chicago,24.0,95.4,295.0,1.0
33745,19.0,Female,Miami,6.0,69.98,74.0,0.0
94015,41.0,Male,Los Angeles,22.0,44.09,209.0,0.0
24288,63.0,Female,New York,4.0,91.92,101.0,1.0
48536,70.0,Male,New York,14.0,53.59,199.0,1.0
56087,21.0,Female,Los Angeles,19.0,30.98,271.0,1.0
20866,46.0,Male,Los Angeles,2.0,76.37,191.0,0.0
73981,67.0,Female,New York,10.0,52.24,85.0,0.0
98851,60.0,Female,Miami,15.0,32.72,164.0,1.0
37213,48.0,Male,Houston,14.0,32.01,75.0,0.0
66699,39.0,Male,Miami,4.0,66.43,183.0,0.0
88840,21.0,Male,Houston,5.0,44.8,93.0,1.0
40700,38.0,Female,Los Angeles,20.0,94.17,441.0,1.0
1037,34.0,Male,Miami,22.0,99.16,59.0,1.0
1486,40.0,Male,Miami,9.0,61.72,239.0,0.0
45992,52.0,Male,Chicago,6.0,51.67,379.0,1.0
76577,56.0,Female,Miami,4.0,73.45,55.0,0.0
93490,65.0,Female,New York,3.0,65.57,297.0,1.0
15301,68.0,Male,Miami,24.0,35.82,388.0,0.0
82305,20.0,Male,New York,11.0,31.26,100.0,1.0
8161,69.0,Female,Chicago,21.0,69.38,220.0,0.0
19043,30.0,Male,Los Angeles,7.0,98.01,142.0,0.0
82575,65.0,Male,New York,12.0,74.24,213.0,0.0
5117,29.0,Female,New York,16.0,62.57,143.0,0.0
49821,20.0,Female,New York,4.0,63.93,175.0,0.0
14775,32.0,Male,Chicago,4.0,96.53,158.0,0.0
89131,33.0,Female,Los Angeles,4.0,65.77,253.0,1.0
35324,47.0,Male,Chicago,2.0,54.92,449.0,1.0
80797,66.0,Female,Houston,21.0,31.56,331.0,1.0
7407,28.0,Male,Miami,15.0,56.14,309.0,1.0
56701,39.0,Female,Houston,16.0,66.75,362.0,1.0
737,19.0,Female,New York,5.0,98.02,377.0,0.0
67948,32.0,Female,Chicago,21.0,92.56,59.0,1.0
94330,51.0,Female,Miami,1.0,45.36,346.0,0.0
68784,61.0,Male,Los Angeles,7.0,55.66,142.0,0.0
94121,69.0,Male,Chicago,9.0,68.17,441.0,1.0
52602,26.0,Male,Los Angeles,17.0,72.98,105.0,0.0
16265,38.0,Male,Houston,17.0,95.47,353.0,1.0
7543,44.0,Female,Los Angeles,14.0,55.39,465.0,1.0
62735,35.0,Male,Houston,18.0,75.62,94.0,1.0
12602,63.0,Female,Los Angeles,5.0,99.96,472.0,0.0
77072,42.0,Male,Los Angeles,18.0,54.95,73.0,1.0
22111,68.0,Female,Chicago,12.0,97.1,471.0,0.0
54157,35.0,Female,Miami,19.0,76.11,476.0,0.0
24692,57.0,Male,New York,21.0,37.85,75.0,1.0
89515,31.0,Female,Chicago,14.0,71.32,260.0,0.0
97763,35.0,Female,Miami,17.0,42.81,487.0,0.0
2681,62.0,Male,Los Angeles,1.0,57.05,75.0,0.0
65013,31.0,Female,Los Angeles,3.0,53.15,53.0,0.0
13226,35.0,Male,Chicago,3.0,71.28,168.0,0.0
68564,50.0,Male,New York,1.0,41.64,306.0,1.0
52595,41.0,Female,Miami,10.0,68.92,141.0,0.0
65214,21.0,Male,Los Angeles,3.0,66.43,433.0,1.0
59631,64.0,Male,Los Angeles,18.0,81.71,271.0,1.0
63012,41.0,Male,Miami,9.0,82.07,373.0,0.0
17463,64.0,Female,Chicago,20.0,72.95,276.0,1.0
31591,37.0,Female,New York,3.0,83.75,258.0,1.0
51128,38.0,Female,Miami,15.0,37.28,69.0,0.0
88588,53.0,Female,Houston,7.0,87.44,318.0,1.0
84278,41.0,Male,Houston,12.0,88.45,197.0,1.0
67558,70.0,Male,Los Angeles,16.0,96.59,315.0,1.0
72820,61.0,Female,Houston,13.0,66.78,137.0,0.0
28706,63.0,Female,Chicago,10.0,88.83,281.0,1.0
45844,54.0,Male,New York,20.0,48.37,56.0,1.0
92437,35.0,Male,Chicago,20.0,37.56,285.0,1.0
99383,19.0,Male,Houston,4.0,93.87,287.0,0.0
75516,50.0,Male,Miami,24.0,97.46,356.0,0.0
80734,52.0,Male,New York,13.0,53.53,191.0,1.0
40261,56.0,Male,Houston,1.0,91.43,143.0,0.0
73852,59.0,Male,Chicago,1.0,50.93,96.0,1.0
75911,41.0,Male,Los Angeles,23.0,76.9,367.0,0.0
83431,62.0,Female,Miami,19.0,47.09,468.0,0.0
90874,48.0,Male,Chicago,16.0,57.11,225.0,1.0
21667,47.0,Male,Miami,18.0,66.15,242.0,1.0
7140,35.0,Female,Miami,15.0,84.97,203.0,0.0
38664,38.0,Female,Chicago,6.0,39.78,343.0,1.0
52304,60.0,Male,Houston,12.0,96.59,485.0,0.0
96058,27.0,Female,Miami,5.0,93.74,167.0,0.0
91989,31.0,Female,New York,23.0,88.51,195.0,1.0
45353,32.0,Male,New York,9.0,83.9,170.0,1.0
9111,51.0,Male,Chicago,12.0,39.16,247.0,0.0
71719,68.0,Female,Los Angeles,23.0,49.47,209.0,1.0
20233,26.0,Male,Houston,10.0,93.63,159.0,0.0
2279,47.0,Female,Los Angeles,1.0,93.82,370.0,1.0
45255,43.0,Female,Chicago,16.0,76.28,341.0,0.0
87261,69.0,Female,Chicago,19.0,47.89,399.0,0.0
54300,20.0,Male,Houston,15.0,33.07,431.0,0.0
79184,19.0,Male,Los Angeles,17.0,77.78,395.0,1.0
54872,49.0,Female,Miami,10.0,57.92,303.0,0.0
78874,47.0,Female,Miami,4.0,83.29,204.0,1.0
38888,26.0,Female,Chicago,13.0,37.66,339.0,0.0
567,25.0,Female,Houston,7.0,60.57,181.0,0.0
89541,63.0,Male,New York,8.0,58.05,439.0,0.0
89096,70.0,Female,Chicago,9.0,37.88,352.0,0.0
38010,42.0,Female,Chicago,15.0,67.34,381.0,1.0
93456,26.0,Female,Miami,1.0,46.02,239.0,0.0
97386,70.0,Female,Houston,11.0,31.12,326.0,1.0
71927,45.0,Female,Houston,7.0,69.69,458.0,1.0
8019,20.0,Female,New York,14.0,50.38,488.0,0.0
18384,21.0,Male,Houston,2.0,63.51,386.0,0.0
31914,64.0,Female,Chicago,4.0,33.07,241.0,1.0
58939,62.0,Male,Houston,1.0,30.07,276.0,0.0
64486,20.0,Female,Chicago,4.0,39.71,460.0,1.0
72401,48.0,Female,New York,13.0,87.08,101.0,1.0
46694,36.0,Female,Chicago,14.0,93.79,474.0,1.0
71584,37.0,Male,New York,16.0,98.83,286.0,1.0
73333,38.0,Female,Chicago,1.0,80.92,425.0,0.0
42149,54.0,Male,Los Angeles,2.0,90.48,170.0,0.0
84135,31.0,Male,New York,16.0,81.92,439.0,1.0
61777,47.0,Female,Miami,12.0,57.05,386.0,1.0
17274,61.0,Male,Miami,17.0,36.71,246.0,1.0
94163,24.0,Female,Los Angeles,16.0,31.0,318.0,1.0
29732,55.0,Male,Chicago,8.0,52.8,74.0,1.0
60075,49.0,Male,Miami,4.0,45.51,144.0,0.0
46536,68.0,Female,Los Angeles,11.0,78.22,59.0,1.0
36135,26.0,Female,Los Angeles,20.0,38.89,105.0,1.0
25126,35.0,Female,New York,19.0,47.28,81.0,0.0
52276,47.0,Male,Houston,3.0,67.79,317.0,0.0
17637,21.0,Female,Houston,5.0,44.18,441.0,0.0
84881,18.0,Female,Houston,4.0,84.97,457.0,1.0
56904,22.0,Male,Miami,2.0,53.89,413.0,1.0
77589,42.0,Male,Miami,5.0,95.08,263.0,1.0
87034,58.0,Female,Houston,7.0,67.51,426.0,1.0
50717,20.0,Female,Chicago,24.0,63.51,342.0,1.0
74710,62.0,Male,Los Angeles,17.0,74.24,487.0,0.0
29558,50.0,Female,Miami,21.0,99.92,69.0,1.0
85502,34.0,Female,Miami,20.0,46.35,323.0,1.0
55395,57.0,Female,Miami,17.0,91.66,150.0,1.0
72161,19.0,Female,Chicago,14.0,95.47,80.0,0.0
6481,58.0,Female,Los Angeles,14.0,36.23,145.0,0.0
17753,30.0,Male,Los Angeles,22.0,37.76,105.0,0.0
87278,69.0,Female,Miami,14.0,39.43,332.0,1.0
35111,45.0,Female,Los Angeles,24.0,45.32,478.0,1.0
8205,62.0,Female,New York,4.0,56.09,80.0,0.0
21955,50.0,Male,Houston,4.0,95.18,433.0,0.0
99720,36.0,Male,Miami,14.0,43.22,474.0,1.0
59176,55.0,Male,Los Angeles,19.0,91.93,145.0,0.0
20066,18.0,Female,Houston,13.0,54.9,97.0,1.0
57920,46.0,Male,Houston,11.0,62.7,189.0,1.0
71452,45.0,Female,Houston,8.0,70.32,70.0,1.0
57648,29.0,Male,Houston,3.0,49.29,379.0,0.0
11418,44.0,Male,Houston,1.0,90.98,268.0,0.0
54350,25.0,Male,Los Angeles,13.0,65.3,341.0,0.0
17406,37.0,Male,Houston,22.0,80.04,458.0,0.0
33025,23.0,Male,Los Angeles,24.0,81.59,413.0,1.0
95342,50.0,Female,Chicago,8.0,73.21,168.0,0.0
99135,19.0,Male,Chicago,19.0,94.4,496.0,1.0
48500,43.0,Male,New York,2.0,30.39,406.0,0.0
60526,23.0,Male,New York,7.0,91.33,300.0,1.0
88577,41.0,Female,New York,14.0,90.37,156.0,1.0
75808,37.0,Male,Miami,3.0,47.77,430.0,1.0
11451,59.0,Female,Chicago,2.0,73.45,499.0,1.0
97375,70.0,Male,Los Angeles,2.0,30.04,483.0,0.0
44549,23.0,Male,Miami,4.0,79.15,189.0,1.0
74344,65.0,Male,Los Angeles,15.0,70.58,220.0,0.0
89408,62.0,Female,Los Angeles,22.0,68.83,393.0,1.0
34400,42.0,Male,New York,12.0,92.26,493.0,1.0
97102,65.0,Male,Chicago,3.0,79.02,397.0,1.0
97061,33.0,Female,New York,18.0,81.63,387.0,1.0
42121,60.0,Male,New York,3.0,66.17,127.0,1.0
36899,56.0,Male,Houston,21.0,54.6,369.0,1.0
31592,25.0,Male,Houston,4.0,71.56,230.0,1.0
98848,39.0,Female,Houston,9.0,59.22,464.0,0.0
40190,30.0,Male,Houston,18.0,93.54,50.0,0.0
10621,24.0,Male,Miami,7.0,95.99,259.0,0.0
74005,21.0,Female,New York,23.0,67.57,135.0,1.0
69361,45.0,Male,Chicago,24.0,79.37,331.0,1.0
99931,48.0,Male,Miami,20.0,78.32,315.0,0.0
67964,30.0,Male,Houston,14.0,94.22,465.0,1.0
85586,56.0,Male,Los Angeles,4.0,88.59,225.0,1.0
30090,20.0,Female,Miami,14.0,82.0,303.0,0.0
82362,65.0,Male,Chicago,19.0,76.86,71.0,1.0
34809,55.0,Female,Houston,8.0,36.06,71.0,0.0
87586,52.0,Female,Miami,7.0,88.56,383.0,1.0
61833,30.0,Male,New York,5.0,32.31,159.0,0.0
91249,46.0,Male,New York,6.0,51.41,179.0,0.0
11257,39.0,Female,Miami,22.0,62.76,88.0,0.0
72103,59.0,Female,New York,4.0,85.39,268.0,1.0
69910,23.0,Male,Chicago,3.0,40.5,190.0,1.0
32963,68.0,Female,Houston,19.0,82.43,175.0,0.0
75567,21.0,Female,New York,6.0,50.83,145.0,0.0
87993,39.0,Female,Chicago,16.0,89.81,396.0,0.0
60976,40.0,Male,New York,19.0,30.16,310.0,0.0
4430,21.0,Male,New York,12.0,75.06,478.0,0.0
13304,26.0,Male,Los Angeles,7.0,43.1,351.0,1.0
28815,20.0,Male,Miami,17.0,86.71,151.0,1.0
41170,45.0,Female,New York,21.0,62.54,217.0,1.0
37361,39.0,Female,Los Angeles,12.0,46.81,284.0,1.0
21615,43.0,Female,Houston,7.0,77.88,294.0,0.0
66053,26.0,Male,Houston,7.0,94.25,460.0,1.0
79474,62.0,Female,Chicago,20.0,30.65,352.0,1.0
43089,42.0,Male,New York,14.0,60.79,281.0,0.0
93803,61.0,Female,New York,5.0,35.9,234.0,1.0
28837,45.0,Female,Los Angeles,11.0,51.03,200.0,0.0
86399,35.0,Male,Los Angeles,10.0,67.46,433.0,0.0
5421,62.0,Female,New York,13.0,78.91,246.0,1.0
77233,57.0,Female,New York,21.0,65.71,443.0,1.0
50253,50.0,Female,New York,22.0,77.67,277.0,1.0
80862,60.0,Female,Miami,21.0,50.06,459.0,1.0
53199,35.0,Female,Los Angeles,16.0,46.74,435.0,1.0
17956,61.0,Female,Chicago,21.0,52.81,295.0,0.0
41158,37.0,Male,Chicago,10.0,48.64,154.0,1.0
95120,24.0,Female,Miami,19.0,45.84,114.0,0.0
85373,23.0,Female,New York,4.0,37.83,149.0,1.0
76867,55.0,Female,Miami,2.0,79.69,96.0,1.0
900,60.0,Female,Houston,10.0,77.0,425.0,1.0
20456,38.0,Male,Houston,9.0,65.29,62.0,1.0
21520,68.0,Male,Los Angeles,2.0,47.04,315.0,0.0
66713,21.0,Female,Chicago,19.0,88.86,453.0,1.0
28014,23.0,Female,Los Angeles,20.0,97.13,273.0,1.0
91374,67.0,Male,New York,22.0,94.0,462.0,0.0
49927,18.0,Female,Houston,23.0,85.99,363.0,0.0
96071,54.0,Female,Houston,15.0,81.1,447.0,0.0
9901,19.0,Male,Miami,4.0,54.87,322.0,0.0
25484,57.0,Male,Chicago,3.0,41.74,476.0,1.0
35194,38.0,Female,Miami,24.0,39.23,498.0,1.0
32033,23.0,Male,Los Angeles,18.0,45.28,198.0,0.0
70698,33.0,Male,Los Angeles,8.0,58.44,307.0,1.0
98653,57.0,Female,Miami,23.0,46.35,192.0,1.0
66179,24.0,Male,Los Angeles,8.0,78.87,447.0,1.0
78866,23.0,Female,Los Angeles,20.0,72.1,467.0,1.0
83660,68.0,Female,Chicago,23.0,90.66,341.0,0.0
95901,39.0,Female,Miami,8.0,39.95,337.0,0.0
36522,44.0,Male,New York,2.0,51.42,129.0,1.0
600,36.0,Female,Miami,21.0,63.45,455.0,0.0
83208,55.0,Female,New York,2.0,89.14,313.0,0.0
25775,26.0,Female,New York,10.0,55.31,417.0,0.0
91701,42.0,Female,New York,21.0,71.59,352.0,0.0
38298,32.0,Female,New York,13.0,40.1,230.0,1.0
65036,23.0,Female,New York,3.0,86.53,427.0,0.0
